Complexity,Loss,Equation
1,3.0495551e-19,"9.9896466e-11"
3,2.9929168e-19,"x0 * 2.1635478e-10"
4,6.732381e-20,"inv(x2) * 1.3349039e-11"
5,6.731219e-20,"1.3349039e-11 * inv(sin(x2))"
6,5.522313e-20,"(x1 * 4.2708597e-11) * inv(x2)"
7,4.3484174e-20,"(inv(x2) * 1.0404006e-11) * exp(x1)"
8,9.3465516e-30,"x0 * ((inv(x2) * x1) * 6.669963e-11)"
